timestamp,building_id,meter_reading,site_id,primaryspaceusage,sqm,sqft,airTemperature,cloudCoverage,dewTemperature,precipDepth1HR,precipDepth6HR,seaLvlPressure,windDirection,windSpeed,carbon_emission_kg
2016-01-01 00:00:00,Bobcat_office_Melody,59.0,Bobcat,Office,2503.6,26948.0,-14.4,0.0,-16.7,0.0,-1.0,1036.9,280.0,3.1,26.55
2016-01-01 01:00:00,Bobcat_office_Melody,56.75,Bobcat,Office,2503.6,26948.0,-13.3,0.0,-16.7,0.0,-1.0,1036.0,240.0,3.1,25.5375
2016-01-01 02:00:00,Bobcat_office_Melody,56.2501,Bobcat,Office,2503.6,26948.0,-15.0,0.0,-17.8,0.0,-1.0,1035.9,240.0,2.6,25.312545000000004
2016-01-01 03:00:00,Bobcat_office_Melody,56.6201,Bobcat,Office,2503.6,26948.0,-12.8,0.0,-17.8,0.0,-1.0,1035.0,310.0,2.6,25.479045
2016-01-01 04:00:00,Bobcat_office_Melody,56.7501,Bobcat,Office,2503.6,26948.0,-14.4,0.0,-18.3,0.0,-1.0,1035.3,300.0,3.6,25.537545
2016-01-01 05:00:00,Bobcat_office_Melody,57.38,Bobcat,Office,2503.6,26948.0,-13.3,0.0,-18.3,0.0,-1.0,1035.1,300.0,4.6,25.821
2016-01-01 06:00:00,Bobcat_office_Melody,57.5,Bobcat,Office,2503.6,26948.0,-12.8,0.0,-18.3,0.0,-1.0,1035.0,240.0,3.6,25.875
2016-01-01 07:00:00,Bobcat_office_Melody,59.62,Bobcat,Office,2503.6,26948.0,-15.0,0.0,-18.9,0.0,-1.0,1036.1,300.0,4.1,26.829
2016-01-01 08:00:00,Bobcat_office_Melody,59.5,Bobcat,Office,2503.6,26948.0,-16.7,0.0,-20.0,0.0,-1.0,1036.4,280.0,3.1,26.775000000000002
2016-01-01 09:00:00,Bobcat_office_Melody,59.38,Bobcat,Office,2503.6,26948.0,-15.0,0.0,-19.4,0.0,-1.0,1036.8,40.0,3.1,26.721
2016-01-01 10:00:00,Bobcat_office_Melody,56.25,Bobcat,Office,2503.6,26948.0,-12.2,0.0,-17.8,0.0,-1.0,1036.6,250.0,3.6,25.3125
2016-01-01 11:00:00,Bobcat_office_Melody,55.37,Bobcat,Office,2503.6,26948.0,-10.6,0.0,-16.7,0.0,-1.0,1035.8,260.0,3.1,24.9165
2016-01-01 12:00:00,Bobcat_office_Melody,54.5001,Bobcat,Office,2503.6,26948.0,-8.3,0.0,-16.1,0.0,-1.0,1034.9,280.0,3.1,24.525045000000002
2016-01-01 13:00:00,Bobcat_office_Melody,53.13,Bobcat,Office,2503.6,26948.0,-8.9,0.0,-15.0,0.0,-1.0,1033.9,290.0,2.6,23.9085
2016-01-01 14:00:00,Bobcat_office_Melody,54.75,Bobcat,Office,2503.6,26948.0,-8.9,0.0,-13.9,0.0,-1.0,1033.6,300.0,3.6,24.6375
2016-01-01 15:00:00,Bobcat_office_Melody,54.8701,Bobcat,Office,2503.6,26948.0,-8.3,0.0,-15.0,0.0,-1.0,1033.0,300.0,2.6,24.691545
2016-01-01 16:00:00,Bobcat_office_Melody,56.0,Bobcat,Office,2503.6,26948.0,-8.9,0.0,-15.0,0.0,-1.0,1033.3,310.0,2.6,25.2
2016-01-01 17:00:00,Bobcat_office_Melody,55.2501,Bobcat,Office,2503.6,26948.0,-8.9,0.0,-15.6,0.0,-1.0,1033.0,300.0,3.1,24.862545
2016-01-01 18:00:00,Bobcat_office_Melody,53.8801,Bobcat,Office,2503.6,26948.0,-9.4,0.0,-16.7,0.0,-1.0,1032.6,280.0,2.6,24.246045
2016-01-01 19:00:00,Bobcat_office_Melody,56.5001,Bobcat,Office,2503.6,26948.0,-10.6,0.0,-16.7,0.0,-1.0,1032.8,260.0,2.6,25.425045
2016-01-01 20:00:00,Bobcat_office_Melody,56.7501,Bobcat,Office,2503.6,26948.0,-11.1,0.0,-17.2,0.0,-1.0,1033.2,300.0,4.1,25.537545
2016-01-01 21:00:00,Bobcat_office_Melody,56.75,Bobcat,Office,2503.6,26948.0,-10.0,0.0,-16.7,0.0,-1.0,1032.8,150.0,2.1,25.5375
2016-01-01 22:00:00,Bobcat_office_Melody,56.62,Bobcat,Office,2503.6,26948.0,-8.9,0.0,-17.2,0.0,-1.0,1031.9,0.0,0.0,25.479
2016-01-01 23:00:00,Bobcat_office_Melody,55.63,Bobcat,Office,2503.6,26948.0,-10.6,0.0,-17.2,0.0,-1.0,1031.3,340.0,3.6,25.0335
2016-01-02 00:00:00,Bobcat_office_Melody,57.62,Bobcat,Office,2503.6,26948.0,-10.6,0.0,-17.2,0.0,-1.0,1031.4,0.0,0.0,25.929
2016-01-02 01:00:00,Bobcat_office_Melody,56.63,Bobcat,Office,2503.6,26948.0,-11.7,0.0,-16.7,0.0,-1.0,1031.5,180.0,3.1,25.483500000000003
2016-01-02 02:00:00,Bobcat_office_Melody,56.12,Bobcat,Office,2503.6,26948.0,-11.1,0.0,-16.7,0.0,-1.0,1031.8,360.0,5.1,25.253999999999998
2016-01-02 03:00:00,Bobcat_office_Melody,55.5,Bobcat,Office,2503.6,26948.0,-11.7,0.0,-17.2,0.0,-1.0,1031.9,220.0,2.1,24.975
2016-01-02 04:00:00,Bobcat_office_Melody,57.88,Bobcat,Office,2503.6,26948.0,-12.2,0.0,-18.3,0.0,-1.0,1032.0,280.0,2.1,26.046000000000003
